year,averageMethanePerYear
1983,1636.5
1984,1644.833333333333
1985,1657.3500000000001
1986,1670.1916666666664
1987,1682.825
1988,1693.1916666666666
1989,1704.6166666666666
1990,1714.5083333333332
1991,1724.9833333333333
1992,1735.4750000000001
1993,1736.5416666666663
1994,1742.1333333333334
1995,1748.8083333333334
1996,1751.291666666667
1997,1754.6166666666668
1998,1765.6249999999998
1999,1772.4416666666666
2000,1773.1916666666666
2001,1771.2499999999998
2002,1772.6999999999998
2003,1777.325
2004,1776.966666666667
2005,1774.1416666666664
2006,1774.9666666666672
2007,1781.4666666666665
2008,1787.0833333333333
2009,1793.5416666666667
2010,1798.9499999999998
2011,1803.1499999999999
2012,1808.1000000000001
2013,1813.466666666667
2014,1822.7249999999997
2015,1834.3333333333333
2016,1843.158333333333
2017,1849.6999999999998
2018,1857.3833333333334
2019,1866.6333333333332
2020,1876.7700000000004
