Year,Avg Rainfall - (MM),Country
1901,42.715961666666665,China
1902,41.582564166666664,China
1903,49.020520000000005,China
1904,46.83903583333335,China
1905,48.47216666666667,China
1906,46.715155833333334,China
1907,49.01638083333333,China
1908,48.08789166666667,China
1909,48.73222749999999,China
1910,47.47074416666667,China
1911,54.22572499999999,China
1912,46.778191666666665,China
1913,45.5790925,China
1914,48.612649166666664,China
1915,53.22686083333334,China
1916,46.34835916666666,China
1917,47.50100416666666,China
1918,50.672785833333336,China
1919,45.53201166666667,China
1920,47.76374916666666,China
1921,47.629293333333344,China
1922,46.72396083333333,China
1923,46.23307499999999,China
1924,46.884885833333335,China
1925,45.19188416666666,China
1926,47.50653666666667,China
1927,46.217864999999996,China
1928,45.46385999999999,China
1929,45.13381666666666,China
1930,46.303785833333336,China
1931,49.080189999999995,China
1932,47.845589999999994,China
1933,46.36831083333334,China
1934,49.28424416666667,China
1935,46.95147500000001,China
1936,44.598330000000004,China
1937,50.26861916666667,China
1938,49.54548499999999,China
1939,45.66269083333333,China
1940,45.63225166666666,China
1941,46.709833333333336,China
1942,46.81132333333333,China
1943,46.112921666666665,China
1944,46.37661666666667,China
1945,46.27473333333333,China
1946,48.97380000000001,China
1947,49.725674999999995,China
1948,50.78373833333333,China
1949,52.41721333333334,China
1950,47.785222499999996,China
1951,49.323702499999996,China
1952,49.95720666666667,China
1953,48.82220833333334,China
1954,53.933524999999996,China
1955,46.43257833333334,China
1956,48.44366166666666,China
1957,46.876133333333335,China
1958,46.501935833333334,China
1959,51.14215833333333,China
1960,46.69928833333333,China
1961,50.696845833333334,China
1962,48.3275175,China
1963,45.89259666666666,China
1964,50.5147575,China
1965,45.42760916666666,China
1966,45.33466583333333,China
1967,47.008871666666664,China
1968,46.1823675,China
1969,48.36024499999999,China
1970,49.43212499999999,China
1971,46.78630666666666,China
1972,45.72475083333334,China
1973,52.564453333333326,China
1974,48.23884999999999,China
1975,49.614766666666675,China
1976,46.24829833333333,China
1977,48.56357166666666,China
1978,44.830579166666666,China
1979,46.24945916666667,China
1980,47.998768333333324,China
1981,48.448280833333335,China
1982,47.21607583333334,China
1983,51.80089083333332,China
1984,47.561389999999996,China
1985,48.39884000000001,China
1986,43.553892499999996,China
1987,48.858422499999996,China
1988,46.59605,China
1989,46.83094166666666,China
1990,52.09286083333333,China
1991,47.20338333333334,China
1992,46.10790833333334,China
1993,50.386966666666666,China
1994,48.93027,China
1995,47.45567500000001,China
1996,48.85614,China
1997,47.03569166666667,China
1998,53.53025416666666,China
1999,47.83538166666667,China
2000,48.56383333333332,China
2001,45.832,China
2002,50.74171666666667,China
2003,48.73342583333334,China
2004,45.74685833333333,China
2005,47.48117249999999,China
2006,45.713805,China
2007,46.08253833333333,China
2008,49.242864999999995,China
