year,month,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1901,1,2.191,0.291,7.996,0.604,-3.491,0.49,13.29,0.141
1901,2,3.092,0.418,9.038,0.371,-2.678,0.539,13.66,0.163
1901,3,5.671,0.251,11.476,0.37,-0.644,0.395,14.383,0.138
1901,4,8.522,0.326,14.733,0.368,2.264,0.376,15.22,0.151
1901,5,11.178,0.339,17.315,0.397,4.855,0.39,15.936,0.154
1901,6,13.423,0.283,19.315,0.386,7.151,0.367,16.441,0.145
1901,7,14.339,0.35,20.34,0.43,8.161,0.374,16.718,0.158
1901,8,13.789,0.343,19.898,0.398,7.66,0.411,16.663,0.148
1901,9,11.984,0.305,17.929,0.464,5.819,0.322,16.001,0.14
1901,10,9.003,0.239,15.002,0.368,2.998,0.338,15.087,0.138
1901,11,5.976,0.263,12.043,0.55,0.071,0.398,14.101,0.137
1901,12,3.335,0.267,9.061,0.672,-2.28,0.37,13.38,0.136
1902,1,2.684,0.256,8.797,0.569,-3.031,0.369,13.302,0.13
1902,2,3.606,0.354,9.814,0.341,-2.504,0.452,13.691,0.148
1902,3,4.883,0.228,11.166,0.439,-1.339,0.294,14.1,0.127
1902,4,7.956,0.321,13.884,0.357,1.562,0.358,14.958,0.141
1902,5,10.893,0.341,16.986,0.536,4.587,0.369,15.719,0.145
1902,6,13.214,0.264,19.338,0.475,6.894,0.32,16.284,0.129
1902,7,14.231,0.356,20.2,0.536,7.965,0.339,16.69,0.145
1902,8,13.599,0.357,19.884,0.297,7.449,0.354,16.591,0.144
1902,9,11.799,0.289,17.897,0.299,5.555,0.372,16.032,0.134
1902,10,8.801,0.21,14.811,0.271,2.759,0.347,14.991,0.121
1902,11,5.274,0.267,11.159,0.335,-0.46,0.327,13.902,0.128
1902,12,2.713,0.27,8.435,0.277,-2.992,0.373,13.24,0.134
1903,1,2.514,0.224,8.415,0.442,-3.187,0.403,13.275,0.128
1903,2,3.555,0.247,9.297,0.429,-2.49,0.494,13.668,0.132
1903,3,4.93,0.212,10.963,0.294,-1.158,0.412,14.05,0.124
1903,4,7.832,0.292,13.958,0.32,1.698,0.392,14.801,0.136
1903,5,10.794,0.305,16.672,0.398,4.587,0.435,15.645,0.139
1903,6,12.886,0.268,18.897,0.381,6.723,0.296,16.161,0.127
1903,7,13.992,0.366,19.787,0.452,7.87,0.364,16.496,0.146
1903,8,13.412,0.377,19.298,0.365,7.558,0.366,16.304,0.146
1903,9,11.501,0.36,17.356,0.461,5.642,0.285,15.771,0.145
1903,10,8.812,0.202,14.634,0.417,2.895,0.371,14.835,0.118
1903,11,5.516,0.268,11.219,0.391,-0.051,0.34,13.828,0.132
1903,12,2.898,0.359,8.533,0.327,-2.687,0.381,13.205,0.145
1904,1,1.637,0.387,7.082,0.516,-3.86,0.398,12.957,0.152
1904,2,2.297,0.348,8.507,0.405,-3.583,0.432,13.154,0.147
1904,3,4.506,0.268,10.559,0.555,-1.575,0.302,13.859,0.133
1904,4,7.684,0.284,13.823,0.625,1.428,0.299,14.755,0.137
1904,5,10.84,0.287,16.922,0.516,4.641,0.313,15.573,0.133
1904,6,13.014,0.248,19.092,0.532,6.778,0.298,16.207,0.128
1904,7,13.836,0.296,19.678,0.647,7.777,0.34,16.525,0.134
1904,8,13.459,0.327,19.525,0.451,7.462,0.321,16.403,0.137
1904,9,11.381,0.265,17.465,0.392,5.361,0.253,15.768,0.129
1904,10,8.833,0.212,14.902,0.601,3.133,0.314,14.947,0.118
1904,11,6.23,0.224,11.997,0.3,0.558,0.337,14.144,0.119
1904,12,3.374,0.291,9.212,0.46,-2.067,0.446,13.433,0.13
1905,1,2.254,0.345,8.017,0.478,-3.324,0.373,13.205,0.14
1905,2,1.927,0.303,7.735,0.28,-3.951,0.411,13.206,0.137
1905,3,4.635,0.235,10.466,0.515,-1.308,0.38,14.035,0.125
1905,4,7.755,0.255,13.622,0.341,1.493,0.417,14.857,0.128
1905,5,10.982,0.28,16.946,0.38,4.819,0.451,15.788,0.131
1905,6,13.112,0.264,19.11,0.379,6.944,0.341,16.379,0.125
1905,7,14.077,0.307,19.877,0.441,8.038,0.342,16.651,0.133
1905,8,13.578,0.327,19.619,0.368,7.72,0.345,16.558,0.134
1905,9,11.804,0.252,17.684,0.363,5.928,0.311,16.004,0.123
1905,10,9.041,0.239,14.866,0.275,3.117,0.385,15.091,0.122
1905,11,6.183,0.282,11.984,0.28,0.574,0.403,14.232,0.127
1905,12,3.354,0.256,9.06,0.334,-1.931,0.372,13.45,0.123
1906,1,2.068,0.313,8.086,0.42,-3.637,0.294,13.25,0.137
1906,2,2.301,0.323,8.125,0.393,-3.343,0.344,13.502,0.135
1906,3,4.866,0.2,11.008,0.264,-1.229,0.353,14.245,0.117
1906,4,8.626,0.242,14.786,0.581,2.422,0.383,15.23,0.122
1906,5,11.24,0.29,17.146,0.437,4.922,0.426,15.769,0.132
1906,6,13.334,0.289,19.287,0.323,7.275,0.321,16.436,0.127
1906,7,14.122,0.323,20.058,0.391,8.186,0.345,16.662,0.137
1906,8,13.691,0.34,19.539,0.462,7.843,0.358,16.593,0.134
1906,9,11.772,0.237,17.522,0.298,5.884,0.338,15.95,0.122
1906,10,9.267,0.182,14.943,0.254,3.479,0.299,15.152,0.116
1906,11,5.501,0.192,11.17,0.327,-0.301,0.322,14.054,0.116
1906,12,3.761,0.368,9.258,0.458,-1.664,0.323,13.54,0.148
1907,1,1.798,0.274,7.903,0.38,-3.867,0.324,13.108,0.128
1907,2,2.117,0.268,7.993,0.383,-3.603,0.285,13.257,0.129
1907,3,4.575,0.209,10.61,0.352,-1.6,0.249,14.15,0.123
1907,4,7.579,0.263,13.401,0.37,1.521,0.281,14.918,0.133
1907,5,10.375,0.28,16.335,0.465,4.084,0.35,15.602,0.132
1907,6,12.729,0.267,18.576,0.403,6.509,0.316,16.253,0.13
1907,7,13.769,0.307,19.626,0.598,7.761,0.348,16.596,0.133
1907,8,13.362,0.326,19.187,0.318,7.465,0.35,16.456,0.132
1907,9,11.665,0.243,17.443,0.253,5.59,0.299,15.902,0.119
1907,10,9.234,0.191,15.079,0.283,3.32,0.361,15.159,0.115
1907,11,5.207,0.207,10.71,0.31,-0.557,0.325,13.872,0.115
1907,12,2.956,0.251,8.831,0.27,-2.585,0.288,13.225,0.121
1908,1,2.304,0.252,8.118,0.3,-3.548,0.287,13.16,0.123
1908,2,2.769,0.269,8.527,0.411,-3.177,0.348,13.441,0.124
1908,3,4.136,0.317,10.384,0.38,-2.101,0.453,13.783,0.137
1908,4,7.832,0.295,13.853,0.332,1.735,0.543,14.801,0.129
1908,5,11.141,0.285,16.958,0.388,4.86,0.388,15.757,0.13
1908,6,13.293,0.248,19.063,0.388,6.902,0.29,16.289,0.119
1908,7,14.197,0.303,19.748,0.419,8.113,0.37,16.618,0.129
1908,8,13.376,0.336,19.359,0.363,7.499,0.346,16.365,0.134
1908,9,11.977,0.252,17.781,0.325,5.977,0.261,15.93,0.119
1908,10,8.865,0.209,14.675,0.29,2.948,0.329,14.883,0.112
1908,11,5.272,0.221,11.098,0.296,-0.576,0.451,13.842,0.116
1908,12,3.071,0.31,8.901,0.332,-2.535,0.368,13.189,0.129
1909,1,1.395,0.314,7.121,0.377,-4.298,0.449,12.839,0.132
1909,2,2.706,0.273,8.571,0.465,-3.447,0.357,13.35,0.125
1909,3,4.589,0.249,10.659,0.472,-1.677,0.478,13.852,0.122
1909,4,7.534,0.269,13.426,0.414,1.395,0.42,14.719,0.122
1909,5,10.611,0.3,16.668,0.428,4.38,0.394,15.6,0.127
1909,6,12.962,0.232,18.71,0.281,6.766,0.327,16.191,0.114
1909,7,14.06,0.299,19.787,0.366,8.05,0.343,16.437,0.123
1909,8,13.752,0.319,19.625,0.353,7.753,0.371,16.496,0.126
1909,9,11.879,0.237,17.891,0.287,5.778,0.354,15.849,0.112
1909,10,9.192,0.178,15.139,0.327,3.221,0.34,14.941,0.102
1909,11,6.236,0.205,11.959,0.216,0.323,0.381,13.993,0.108
1909,12,3.223,0.278,8.763,0.423,-2.353,0.326,13.217,0.121
1910,1,2.333,0.24,8.095,0.565,-3.27,0.381,13.139,0.114
1910,2,2.779,0.273,8.388,0.344,-3.226,0.489,13.317,0.122
1910,3,4.606,0.213,10.781,0.334,-1.675,0.421,13.872,0.112
1910,4,8.105,0.252,14.37,0.305,1.704,0.422,14.845,0.12
1910,5,11.005,0.31,17.03,0.327,4.675,0.514,15.712,0.128
1910,6,13.151,0.232,19.027,0.246,6.871,0.422,16.264,0.11
1910,7,14.279,0.322,19.952,0.318,8.205,0.385,16.543,0.13
1910,8,13.677,0.321,19.425,0.302,7.606,0.395,16.477,0.126
1910,9,11.733,0.243,17.623,0.286,5.669,0.398,15.875,0.112
1910,10,9.006,0.203,14.905,0.243,2.986,0.377,15.019,0.105
1910,11,5.318,0.223,11.072,0.42,-0.654,0.434,13.75,0.109
1910,12,2.684,0.289,8.5,0.273,-2.999,0.459,13.016,0.123
1911,1,1.66,0.33,7.133,0.437,-3.969,0.285,12.908,0.128
1911,2,2.453,0.214,8.15,0.575,-3.664,0.318,13.164,0.107
1911,3,4.347,0.199,10.362,0.28,-1.743,0.315,13.752,0.108
1911,4,7.99,0.248,14.081,0.382,1.856,0.399,14.716,0.115
1911,5,10.829,0.279,16.71,0.369,4.632,0.307,15.497,0.119
1911,6,13.009,0.231,19.091,0.231,6.778,0.238,16.108,0.108
1911,7,14.082,0.292,19.987,0.335,8.053,0.327,16.431,0.122
1911,8,13.499,0.329,19.396,0.352,7.607,0.316,16.387,0.126
1911,9,11.638,0.233,17.491,0.242,5.723,0.27,15.799,0.118
1911,10,9.263,0.193,14.99,0.249,3.401,0.274,15.063,0.108
1911,11,5.964,0.184,11.652,0.303,0.309,0.338,14.062,0.108
1911,12,3.39,0.242,8.811,0.298,-1.981,0.336,13.425,0.115
1912,1,2.402,0.309,7.911,0.253,-3.305,0.329,13.249,0.125
1912,2,3.354,0.251,9.379,0.335,-2.718,0.594,13.595,0.115
1912,3,4.356,0.226,10.725,0.298,-1.981,0.346,13.995,0.115
1912,4,8.229,0.262,14.069,0.271,2.091,0.391,15.065,0.118
1912,5,11.254,0.308,17.389,0.383,4.992,0.383,15.813,0.126
1912,6,13.435,0.25,19.351,0.277,7.166,0.37,16.397,0.113
1912,7,13.723,0.293,19.729,0.368,7.916,0.345,16.509,0.12
1912,8,13.053,0.318,19.027,0.376,7.277,0.333,16.309,0.125
1912,9,11.222,0.252,17.435,0.331,5.227,0.265,15.685,0.117
1912,10,8.367,0.201,14.133,0.395,2.497,0.211,14.751,0.108
1912,11,5.521,0.188,11.185,0.345,-0.291,0.287,13.928,0.107
1912,12,3.069,0.243,8.307,0.339,-2.459,0.343,13.23,0.114
1913,1,2.083,0.295,7.655,0.442,-3.657,0.4,13.066,0.122
1913,2,2.376,0.295,8.233,0.328,-3.485,0.523,13.344,0.122
1913,3,4.517,0.219,10.4,0.274,-1.597,0.342,13.953,0.11
1913,4,8.023,0.246,14.219,0.355,1.91,0.334,14.957,0.117
1913,5,10.745,0.288,16.815,0.355,4.652,0.357,15.679,0.123
1913,6,13.005,0.266,19.075,0.37,6.667,0.364,16.216,0.117
1913,7,14.137,0.298,20.256,0.327,7.967,0.355,16.552,0.122
1913,8,13.724,0.325,19.805,0.359,7.735,0.37,16.496,0.126
1913,9,11.759,0.237,17.833,0.332,5.629,0.287,15.867,0.111
1913,10,9.077,0.194,14.904,0.256,3.091,0.328,15.028,0.104
