Index,year,AverageYearlyTemp,AverageYearlyLandOceanTemp,Total carbon emissions(million metric tons),Carbon emissions from gas fuel consumption,Carbon emissions from liquid fuel consumption,Carbon emissions from solid fuel consumption,Carbon emissions from cement production,Carbon emissions from gas flaring,averageMethanePerYear,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound
0,1901,8.541916667,15.07333333,552,4,18,531,0,0,,1.110236219,0.417322834,1.803149604
1,1902,8.304416667,14.95833333,566,4,19,543,0,0,,1.291338581,0.61023622,1.972440943
2,1903,8.220166667,14.83658333,617,4,20,593,0,0,,1.606299211,0.937007873,2.275590549
3,1904,8.090916667,14.81041667,624,4,23,597,0,0,,1.2007874,0.53543307,1.86614173
4,1905,8.225166667,14.95466667,663,5,23,636,0,0,,0.984251968,0.377952756,1.590551179
5,1906,8.379083333,15.03191667,707,5,23,680,0,0,,1.251968503,0.673228346,1.83070866
6,1907,7.947166667,14.87483333,784,5,28,750,0,0,,1.196850392,0.61023622,1.783464565
7,1908,8.186083333,14.83816667,750,5,30,714,0,0,,1.098425196,0.527559055,1.669291337
8,1909,8.17825,14.79033333,785,6,32,747,0,0,,1.27559055,0.700787401,1.850393699
9,1910,8.223,14.81908333,819,7,34,778,0,0,,1.271653542,0.696850393,1.846456691
10,1911,8.177,14.776,836,7,36,792,0,0,,1.598425195,1.039370078,2.157480313
11,1912,8.165416667,14.87716667,879,8,37,834,0,0,,1.476377951,0.917322834,2.035433069
12,1913,8.29775,14.90875,943,8,41,895,0,0,,1.547244093,0.992125983,2.102362203
13,1914,8.5905,15.07625,850,8,42,800,0,0,,1.795275589,1.251968503,2.338582675
14,1915,8.593166667,15.14375,838,9,45,784,0,0,,2.10629921,1.57086614,2.641732281
15,1916,8.22525,14.90133333,901,10,48,842,0,0,,2.031496061,1.519685038,2.543307084
16,1917,8.023333333,14.80975,955,11,54,891,0,0,,1.854330707,1.350393699,2.358267714
17,1918,8.130833333,14.95983333,936,10,53,873,0,0,,1.791338581,1.291338581,2.29133858
18,1919,8.38225,15.00675,806,10,61,735,0,0,,1.854330707,1.354330707,2.354330706
19,1920,8.35875,15.02625,932,11,78,843,0,0,,1.905511809,1.393700786,2.417322832
20,1921,8.571,15.10208333,803,10,84,709,0,0,,1.988188974,1.472440943,2.503937005
21,1922,8.408,15.01233333,845,11,94,740,0,0,,1.952755904,1.433070865,2.472440942
22,1923,8.422166667,15.02783333,970,14,111,845,0,0,,1.999999998,1.488188975,2.511811021
23,1924,8.506833333,15.03933333,963,16,110,836,0,0,,1.712598423,1.196850392,2.228346454
24,1925,8.534416667,15.09033333,975,17,116,842,0,0,,1.791338581,1.255905511,2.326771651
25,1926,8.728833333,15.24108333,983,19,119,846,0,0,,2.047244092,1.507874014,2.586614171
26,1927,8.522083333,15.12225,1062,21,136,905,0,0,,2.003937006,1.496062991,2.511811021
27,1928,8.632166667,15.13225,1065,23,143,890,10,0,,1.850393699,1.366141731,2.334645667
28,1929,8.242416667,14.96741667,1145,28,160,947,10,0,,1.905511809,1.429133857,2.381889761
29,1930,8.633583333,15.1725,1053,28,152,862,10,0,,2.062992124,1.590551179,2.535433068
30,1931,8.71925,15.22825,940,25,147,759,8,0,,2.047244092,1.566929132,2.527559053
31,1932,8.70525,15.188,847,24,141,675,7,0,,2.271653541,1.803149604,2.740157478
32,1933,8.33825,15.01291667,893,25,154,708,7,0,,2.440944879,1.976377951,2.905511808
33,1934,8.628333333,15.1445,973,28,162,775,8,0,,2.228346454,1.759842518,2.696850391
34,1935,8.51575,15.11883333,1027,30,176,811,9,0,,2.448818895,1.980314959,2.917322832
35,1936,8.554,15.16616667,1130,34,192,893,11,0,,2.295275588,1.83070866,2.759842517
36,1937,8.698333333,15.3005,1209,38,219,941,11,0,,2.519685037,2.055118108,2.984251965
37,1938,8.863666667,15.29308333,1142,37,214,880,12,0,,2.622047241,2.157480313,3.08661417
38,1939,8.760333333,15.30233333,1192,38,222,918,13,0,,2.826771651,2.346456691,3.307086611
39,1940,8.764666667,15.37208333,1299,42,229,1017,11,0,,2.618110234,2.18110236,3.055118107
40,1941,8.768666667,15.38466667,1334,42,236,1043,12,0,,3.098425194,2.673228344,3.523622044
41,1942,8.728416667,15.32533333,1342,45,222,1063,11,0,,3.098425194,2.673228344,3.523622044
42,1943,8.755083333,15.345,1391,50,239,1092,10,0,,3.098425194,2.673228344,3.523622044
43,1944,8.845,15.44908333,1383,54,275,1047,7,0,,2.84645669,2.425196848,3.267716532
44,1945,8.584833333,15.33075,1160,59,275,820,7,0,,2.95669291,2.535433068,3.377952752
45,1946,8.676916667,15.26275,1238,61,292,875,10,0,,3.251968501,2.834645666,3.669291335
46,1947,8.797083333,15.31016667,1392,67,322,992,12,0,,3.374015745,2.996062989,3.7519685
47,1948,8.74675,15.26116667,1469,76,364,1015,14,0,,3.562992122,3.19685039,3.929133854
48,1949,8.58675,15.22275,1419,81,362,960,16,0,,3.51181102,3.181102359,3.842519681
49,1950,8.36525,15.1395,1630,97,423,1070,18,23,,3.598425193,3.287401571,3.909448815
50,1951,8.625666667,15.31116667,1767,115,479,1129,20,24,,3.972440941,3.665354327,4.279527555
51,1952,8.63825,15.36308333,1795,124,504,1119,22,26,,3.870078736,3.56692913,4.173228342
52,1953,8.87375,15.42108333,1841,131,533,1125,24,27,,4.043307082,3.748031492,4.338582673
53,1954,8.560666667,15.23058333,1865,138,557,1116,27,27,,3.929133854,3.64173228,4.216535429
54,1955,8.62625,15.17433333,2042,150,625,1208,30,31,,3.964566925,3.685039366,4.244094484
55,1956,8.279583333,15.106,2177,161,679,1273,32,32,,3.763779524,3.488188973,4.039370075
56,1957,8.7325,15.37408333,2270,178,714,1309,34,35,,4.291338578,4.019685035,4.562992121
57,1958,8.77375,15.38208333,2330,192,731,1336,36,35,,4.346456688,4.086614169,4.606299208
58,1959,8.732666667,15.3405,2454,206,789,1382,40,36,,4.358267712,4.102362201,4.614173224
59,1960,8.58375,15.29191667,2569,227,849,1410,43,39,,4.503937003,4.244094484,4.763779523
60,1961,8.797666667,15.37991667,2580,240,904,1349,45,42,,4.748031491,4.488188972,5.007874011
61,1962,8.745916667,15.32558333,2686,263,980,1351,49,44,,4.543307082,4.283464563,4.803149601
62,1963,8.856,15.37666667,2833,286,1052,1396,51,47,,4.480314956,4.220472437,4.740157475
63,1964,8.409666667,15.11708333,2995,316,1137,1435,57,51,,4.169291334,3.905511807,4.433070862
64,1965,8.527416667,15.19575,3130,337,1219,1460,59,55,,4.610236216,4.346456688,4.874015743
65,1966,8.599333333,15.26466667,3288,364,1323,1478,63,60,,4.397637791,4.137795271,4.65748031
66,1967,8.700083333,15.29416667,3393,392,1423,1448,65,66,,4.452755901,4.196850389,4.708661413
67,1968,8.516333333,15.26391667,3566,424,1551,1448,70,73,,4.484251964,4.220472437,4.748031491
68,1969,8.595083333,15.3905,3780,467,1673,1486,74,80,,4.751968499,4.476377948,5.02755905
69,1970,8.700916667,15.33266667,4053,493,1839,1556,78,87,,4.67716535,4.401574799,4.9527559
70,1971,8.59925,15.2,4208,530,1947,1559,84,88,,4.881889759,4.610236216,5.153543302
71,1972,8.499583333,15.29291667,4376,560,2057,1576,89,95,,5.240157475,4.968503932,5.511811018
72,1973,8.94825,15.40475,4614,588,2241,1581,95,110,,5.003937003,4.736220468,5.271653538
73,1974,8.4675,15.16808333,4623,597,2245,1579,96,107,,5.472440939,5.204724404,5.740157474
