Rainfall - (MM), Year,Month, Country, ISO3
17.118,1901,1, Bhutan, BTN
1.72783,1901,2, Bhutan, BTN
41.8432,1901,3, Bhutan, BTN
69.9158,1901,4, Bhutan, BTN
142.36,1901,5, Bhutan, BTN
341.013,1901,6, Bhutan, BTN
396.756,1901,7, Bhutan, BTN
412.472,1901,8, Bhutan, BTN
212.721,1901,9, Bhutan, BTN
120.289,1901,10, Bhutan, BTN
51.0858,1901,11, Bhutan, BTN
3.70463,1901,12, Bhutan, BTN
1.92286,1902,1, Bhutan, BTN
0.35747,1902,2, Bhutan, BTN
65.3845,1902,3, Bhutan, BTN
160.856,1902,4, Bhutan, BTN
183.112,1902,5, Bhutan, BTN
417.207,1902,6, Bhutan, BTN
320.754,1902,7, Bhutan, BTN
380.747,1902,8, Bhutan, BTN
261.656,1902,9, Bhutan, BTN
42.6159,1902,10, Bhutan, BTN
0.95822,1902,11, Bhutan, BTN
0.29196,1902,12, Bhutan, BTN
3.68268,1903,1, Bhutan, BTN
12.1817,1903,2, Bhutan, BTN
35.7525,1903,3, Bhutan, BTN
48.2775,1903,4, Bhutan, BTN
155.352,1903,5, Bhutan, BTN
566.385,1903,6, Bhutan, BTN
342.925,1903,7, Bhutan, BTN
417.925,1903,8, Bhutan, BTN
240.297,1903,9, Bhutan, BTN
98.1771,1903,10, Bhutan, BTN
21.3515,1903,11, Bhutan, BTN
0.03501,1903,12, Bhutan, BTN
1.02306,1904,1, Bhutan, BTN
22.0887,1904,2, Bhutan, BTN
9.81893,1904,3, Bhutan, BTN
140.264,1904,4, Bhutan, BTN
202.928,1904,5, Bhutan, BTN
422.173,1904,6, Bhutan, BTN
492.848,1904,7, Bhutan, BTN
372.581,1904,8, Bhutan, BTN
148.693,1904,9, Bhutan, BTN
70.7738,1904,10, Bhutan, BTN
14.4725,1904,11, Bhutan, BTN
1.10735,1904,12, Bhutan, BTN
5.76666,1905,1, Bhutan, BTN
9.70097,1905,2, Bhutan, BTN
43.5529,1905,3, Bhutan, BTN
123.873,1905,4, Bhutan, BTN
190.172,1905,5, Bhutan, BTN
228.247,1905,6, Bhutan, BTN
349.476,1905,7, Bhutan, BTN
661.575,1905,8, Bhutan, BTN
470.574,1905,9, Bhutan, BTN
61.9766,1905,10, Bhutan, BTN
4.23578,1905,11, Bhutan, BTN
6.07758,1905,12, Bhutan, BTN
6.90607,1906,1, Bhutan, BTN
29.1914,1906,2, Bhutan, BTN
32.1545,1906,3, Bhutan, BTN
51.0623,1906,4, Bhutan, BTN
164.702,1906,5, Bhutan, BTN
280.835,1906,6, Bhutan, BTN
446.731,1906,7, Bhutan, BTN
373.821,1906,8, Bhutan, BTN
237.749,1906,9, Bhutan, BTN
110.325,1906,10, Bhutan, BTN
22.1434,1906,11, Bhutan, BTN
0,1906,12, Bhutan, BTN
18.294,1907,1, Bhutan, BTN
18.6149,1907,2, Bhutan, BTN
73.8889,1907,3, Bhutan, BTN
135.31,1907,4, Bhutan, BTN
141.594,1907,5, Bhutan, BTN
421.364,1907,6, Bhutan, BTN
363.9,1907,7, Bhutan, BTN
182.362,1907,8, Bhutan, BTN
258.483,1907,9, Bhutan, BTN
16.6368,1907,10, Bhutan, BTN
5.12362,1907,11, Bhutan, BTN
6.28561,1907,12, Bhutan, BTN
6.1269,1908,1, Bhutan, BTN
8.62196,1908,2, Bhutan, BTN
9.97315,1908,3, Bhutan, BTN
69.1795,1908,4, Bhutan, BTN
236.619,1908,5, Bhutan, BTN
410.227,1908,6, Bhutan, BTN
288.603,1908,7, Bhutan, BTN
485.454,1908,8, Bhutan, BTN
232.902,1908,9, Bhutan, BTN
29.5359,1908,10, Bhutan, BTN
2.82818,1908,11, Bhutan, BTN
0.10883,1908,12, Bhutan, BTN
3.20989,1909,1, Bhutan, BTN
2.7643,1909,2, Bhutan, BTN
0.24338,1909,3, Bhutan, BTN
187.9,1909,4, Bhutan, BTN
169.035,1909,5, Bhutan, BTN
551.439,1909,6, Bhutan, BTN
320.353,1909,7, Bhutan, BTN
301.633,1909,8, Bhutan, BTN
143.4,1909,9, Bhutan, BTN
103.031,1909,10, Bhutan, BTN
4.90092,1909,11, Bhutan, BTN
2.71167,1909,12, Bhutan, BTN
4.36912,1910,1, Bhutan, BTN
11.685,1910,2, Bhutan, BTN
36.5087,1910,3, Bhutan, BTN
103.06,1910,4, Bhutan, BTN
168.992,1910,5, Bhutan, BTN
507.484,1910,6, Bhutan, BTN
666.423,1910,7, Bhutan, BTN
232.3,1910,8, Bhutan, BTN
154.588,1910,9, Bhutan, BTN
96.2572,1910,10, Bhutan, BTN
12.0472,1910,11, Bhutan, BTN
0.69619,1910,12, Bhutan, BTN
25.9649,1911,1, Bhutan, BTN
2.7693,1911,2, Bhutan, BTN
25.8221,1911,3, Bhutan, BTN
99.5544,1911,4, Bhutan, BTN
243.56,1911,5, Bhutan, BTN
479.549,1911,6, Bhutan, BTN
458.905,1911,7, Bhutan, BTN
611.709,1911,8, Bhutan, BTN
360.079,1911,9, Bhutan, BTN
101.352,1911,10, Bhutan, BTN
10.5946,1911,11, Bhutan, BTN
0.12107,1911,12, Bhutan, BTN
1.53914,1912,1, Bhutan, BTN
20.2295,1912,2, Bhutan, BTN
42.5047,1912,3, Bhutan, BTN
152.439,1912,4, Bhutan, BTN
159.922,1912,5, Bhutan, BTN
387.647,1912,6, Bhutan, BTN
457.943,1912,7, Bhutan, BTN
348.242,1912,8, Bhutan, BTN
170.241,1912,9, Bhutan, BTN
101.165,1912,10, Bhutan, BTN
36.869,1912,11, Bhutan, BTN
3.15255,1912,12, Bhutan, BTN
1.47224,1913,1, Bhutan, BTN
32.1105,1913,2, Bhutan, BTN
39.1793,1913,3, Bhutan, BTN
96.8737,1913,4, Bhutan, BTN
220.597,1913,5, Bhutan, BTN
486.621,1913,6, Bhutan, BTN
466.607,1913,7, Bhutan, BTN
455.749,1913,8, Bhutan, BTN
178.224,1913,9, Bhutan, BTN
161.237,1913,10, Bhutan, BTN
2.91137,1913,11, Bhutan, BTN
26.1883,1913,12, Bhutan, BTN
0.53265,1914,1, Bhutan, BTN
22.3904,1914,2, Bhutan, BTN
10.0829,1914,3, Bhutan, BTN
190.792,1914,4, Bhutan, BTN
175.522,1914,5, Bhutan, BTN
380.737,1914,6, Bhutan, BTN
485.956,1914,7, Bhutan, BTN
401.348,1914,8, Bhutan, BTN
188.514,1914,9, Bhutan, BTN
18.9608,1914,10, Bhutan, BTN
7.05669,1914,11, Bhutan, BTN
2.43038,1914,12, Bhutan, BTN
4.50366,1915,1, Bhutan, BTN
25.6443,1915,2, Bhutan, BTN
49.9388,1915,3, Bhutan, BTN
118.282,1915,4, Bhutan, BTN
333.404,1915,5, Bhutan, BTN
546.496,1915,6, Bhutan, BTN
555.969,1915,7, Bhutan, BTN
395.671,1915,8, Bhutan, BTN
187.452,1915,9, Bhutan, BTN
59.0839,1915,10, Bhutan, BTN
6.24299,1915,11, Bhutan, BTN
0.20113,1915,12, Bhutan, BTN
1.4242,1916,1, Bhutan, BTN
5.7646,1916,2, Bhutan, BTN
15.249,1916,3, Bhutan, BTN
217.621,1916,4, Bhutan, BTN
131.045,1916,5, Bhutan, BTN
385.584,1916,6, Bhutan, BTN
260.895,1916,7, Bhutan, BTN
376.274,1916,8, Bhutan, BTN
214.127,1916,9, Bhutan, BTN
172.651,1916,10, Bhutan, BTN
30.5355,1916,11, Bhutan, BTN
0.37876,1916,12, Bhutan, BTN
0.61223,1917,1, Bhutan, BTN
21.4605,1917,2, Bhutan, BTN
13.9801,1917,3, Bhutan, BTN
107.767,1917,4, Bhutan, BTN
137.603,1917,5, Bhutan, BTN
453.892,1917,6, Bhutan, BTN
539.253,1917,7, Bhutan, BTN
288.927,1917,8, Bhutan, BTN
307.544,1917,9, Bhutan, BTN
143.567,1917,10, Bhutan, BTN
31.0042,1917,11, Bhutan, BTN
0.03899,1917,12, Bhutan, BTN
0.99676,1918,1, Bhutan, BTN
5.44848,1918,2, Bhutan, BTN
15.4454,1918,3, Bhutan, BTN
96.5825,1918,4, Bhutan, BTN
149.197,1918,5, Bhutan, BTN
443.2,1918,6, Bhutan, BTN
577.574,1918,7, Bhutan, BTN
485.103,1918,8, Bhutan, BTN
232.002,1918,9, Bhutan, BTN
49.5669,1918,10, Bhutan, BTN
0.61069,1918,11, Bhutan, BTN
0.07094,1918,12, Bhutan, BTN
11.0714,1919,1, Bhutan, BTN
3.34121,1919,2, Bhutan, BTN
3.99245,1919,3, Bhutan, BTN
92.4799,1919,4, Bhutan, BTN
180.177,1919,5, Bhutan, BTN
298.943,1919,6, Bhutan, BTN
285.682,1919,7, Bhutan, BTN
479.84,1919,8, Bhutan, BTN
495.439,1919,9, Bhutan, BTN
47.6848,1919,10, Bhutan, BTN
13.6395,1919,11, Bhutan, BTN
0.34747,1919,12, Bhutan, BTN
5.68328,1920,1, Bhutan, BTN
12.8292,1920,2, Bhutan, BTN
42.6331,1920,3, Bhutan, BTN
95.8214,1920,4, Bhutan, BTN
174.393,1920,5, Bhutan, BTN
409.99,1920,6, Bhutan, BTN
320.149,1920,7, Bhutan, BTN
349.38,1920,8, Bhutan, BTN
246.15,1920,9, Bhutan, BTN
49.0401,1920,10, Bhutan, BTN
1.55504,1920,11, Bhutan, BTN
0.92766,1920,12, Bhutan, BTN
24.5339,1921,1, Bhutan, BTN
5.49541,1921,2, Bhutan, BTN
39.4778,1921,3, Bhutan, BTN
237.048,1921,4, Bhutan, BTN
145.209,1921,5, Bhutan, BTN
445.615,1921,6, Bhutan, BTN
597.497,1921,7, Bhutan, BTN
398.346,1921,8, Bhutan, BTN
171.137,1921,9, Bhutan, BTN
60.8565,1921,10, Bhutan, BTN
6.9566,1921,11, Bhutan, BTN
2.35687,1921,12, Bhutan, BTN
8.25956,1922,1, Bhutan, BTN
2.42711,1922,2, Bhutan, BTN
18.4271,1922,3, Bhutan, BTN
26.9501,1922,4, Bhutan, BTN
160.467,1922,5, Bhutan, BTN
403.906,1922,6, Bhutan, BTN
526.745,1922,7, Bhutan, BTN
383.835,1922,8, Bhutan, BTN
442.823,1922,9, Bhutan, BTN
46.4397,1922,10, Bhutan, BTN
1.74684,1922,11, Bhutan, BTN
3.47671,1922,12, Bhutan, BTN
0.15899,1923,1, Bhutan, BTN
25.4123,1923,2, Bhutan, BTN
19.8712,1923,3, Bhutan, BTN
164.496,1923,4, Bhutan, BTN
170.796,1923,5, Bhutan, BTN
430.538,1923,6, Bhutan, BTN
194.323,1923,7, Bhutan, BTN
515.323,1923,8, Bhutan, BTN
163.066,1923,9, Bhutan, BTN
32.3288,1923,10, Bhutan, BTN
3.70009,1923,11, Bhutan, BTN
3.81501,1923,12, Bhutan, BTN
3.73275,1924,1, Bhutan, BTN
6.66847,1924,2, Bhutan, BTN
1.23571,1924,3, Bhutan, BTN
94.5197,1924,4, Bhutan, BTN
187.882,1924,5, Bhutan, BTN
470.474,1924,6, Bhutan, BTN
532.501,1924,7, Bhutan, BTN
503.944,1924,8, Bhutan, BTN
322.173,1924,9, Bhutan, BTN
43.122,1924,10, Bhutan, BTN
52.6403,1924,11, Bhutan, BTN
0.36469,1924,12, Bhutan, BTN
4.98297,1925,1, Bhutan, BTN
4.35202,1925,2, Bhutan, BTN
11.608,1925,3, Bhutan, BTN
196.906,1925,4, Bhutan, BTN
212.644,1925,5, Bhutan, BTN
291.34,1925,6, Bhutan, BTN
519.1,1925,7, Bhutan, BTN
384.32,1925,8, Bhutan, BTN
218.488,1925,9, Bhutan, BTN
51.2678,1925,10, Bhutan, BTN
2.10697,1925,11, Bhutan, BTN
0,1925,12, Bhutan, BTN
14.321,1926,1, Bhutan, BTN
3.04779,1926,2, Bhutan, BTN
56.6172,1926,3, Bhutan, BTN
72.1586,1926,4, Bhutan, BTN
158.171,1926,5, Bhutan, BTN
239.629,1926,6, Bhutan, BTN
579.481,1926,7, Bhutan, BTN
210.42,1926,8, Bhutan, BTN
185.018,1926,9, Bhutan, BTN
106.033,1926,10, Bhutan, BTN
1.93005,1926,11, Bhutan, BTN
12.2547,1926,12, Bhutan, BTN
24.966,1927,1, Bhutan, BTN
23.4056,1927,2, Bhutan, BTN
31.6633,1927,3, Bhutan, BTN
64.2099,1927,4, Bhutan, BTN
176.316,1927,5, Bhutan, BTN
451.98,1927,6, Bhutan, BTN
564.959,1927,7, Bhutan, BTN
463.297,1927,8, Bhutan, BTN
312.102,1927,9, Bhutan, BTN
76.5258,1927,10, Bhutan, BTN
15.7777,1927,11, Bhutan, BTN
0,1927,12, Bhutan, BTN
8.92712,1928,1, Bhutan, BTN
8.38823,1928,2, Bhutan, BTN
4.91899,1928,3, Bhutan, BTN
92.2518,1928,4, Bhutan, BTN
232.847,1928,5, Bhutan, BTN
285.312,1928,6, Bhutan, BTN
354.382,1928,7, Bhutan, BTN
421.096,1928,8, Bhutan, BTN
170.531,1928,9, Bhutan, BTN
172.288,1928,10, Bhutan, BTN
8.43869,1928,11, Bhutan, BTN
0.49842,1928,12, Bhutan, BTN
13.048,1929,1, Bhutan, BTN
0.31501,1929,2, Bhutan, BTN
36.8751,1929,3, Bhutan, BTN
136.833,1929,4, Bhutan, BTN
224.271,1929,5, Bhutan, BTN
499.931,1929,6, Bhutan, BTN
433.361,1929,7, Bhutan, BTN
362.001,1929,8, Bhutan, BTN
186.657,1929,9, Bhutan, BTN
112.054,1929,10, Bhutan, BTN
4.72427,1929,11, Bhutan, BTN
2.51804,1929,12, Bhutan, BTN
7.67939,1930,1, Bhutan, BTN
15.2574,1930,2, Bhutan, BTN
43.1595,1930,3, Bhutan, BTN
92.081,1930,4, Bhutan, BTN
130.084,1930,5, Bhutan, BTN
362.242,1930,6, Bhutan, BTN
465.612,1930,7, Bhutan, BTN
382.041,1930,8, Bhutan, BTN
231.91,1930,9, Bhutan, BTN
78.6102,1930,10, Bhutan, BTN
51.7144,1930,11, Bhutan, BTN
1.75779,1930,12, Bhutan, BTN
1.1937,1931,1, Bhutan, BTN
9.35778,1931,2, Bhutan, BTN
33.2169,1931,3, Bhutan, BTN
155.113,1931,4, Bhutan, BTN
195.974,1931,5, Bhutan, BTN
264.768,1931,6, Bhutan, BTN
523.994,1931,7, Bhutan, BTN
317.565,1931,8, Bhutan, BTN
257.585,1931,9, Bhutan, BTN
74.5888,1931,10, Bhutan, BTN
5.85377,1931,11, Bhutan, BTN
6.90108,1931,12, Bhutan, BTN
2.4078,1932,1, Bhutan, BTN
11.6735,1932,2, Bhutan, BTN
17.51,1932,3, Bhutan, BTN
160.184,1932,4, Bhutan, BTN
235.331,1932,5, Bhutan, BTN
432.344,1932,6, Bhutan, BTN
429.722,1932,7, Bhutan, BTN
