Rainfall - (MM), Year,Month, Country, ISO3
12.3034,1901,1, China, CHN
5.89702,1901,2, China, CHN
19.186,1901,3, China, CHN
45.2565,1901,4, China, CHN
51.7588,1901,5, China, CHN
81.894,1901,6, China, CHN
116.239,1901,7, China, CHN
85.4611,1901,8, China, CHN
45.5784,1901,9, China, CHN
30.5667,1901,10, China, CHN
12.0591,1901,11, China, CHN
6.39152,1901,12, China, CHN
7.51241,1902,1, China, CHN
7.27536,1902,2, China, CHN
21.5624,1902,3, China, CHN
33.0485,1902,4, China, CHN
69.5409,1902,5, China, CHN
73.2584,1902,6, China, CHN
94.8462,1902,7, China, CHN
76.0942,1902,8, China, CHN
51.4381,1902,9, China, CHN
29.5486,1902,10, China, CHN
15.5198,1902,11, China, CHN
19.3459,1902,12, China, CHN
10.3315,1903,1, China, CHN
14.8705,1903,2, China, CHN
33.0005,1903,3, China, CHN
35.5812,1903,4, China, CHN
65.2121,1903,5, China, CHN
91.3406,1903,6, China, CHN
101.029,1903,7, China, CHN
120.127,1903,8, China, CHN
68.6593,1903,9, China, CHN
32.0307,1903,10, China, CHN
12.0792,1903,11, China, CHN
3.98464,1903,12, China, CHN
5.67913,1904,1, China, CHN
8.92847,1904,2, China, CHN
30.5787,1904,3, China, CHN
57.3756,1904,4, China, CHN
57.3031,1904,5, China, CHN
76.1922,1904,6, China, CHN
100.54,1904,7, China, CHN
102.811,1904,8, China, CHN
62.7064,1904,9, China, CHN
38.1144,1904,10, China, CHN
12.0752,1904,11, China, CHN
9.76423,1904,12, China, CHN
13.0446,1905,1, China, CHN
13.3137,1905,2, China, CHN
41.104,1905,3, China, CHN
39.6973,1905,4, China, CHN
55.9775,1905,5, China, CHN
82.884,1905,6, China, CHN
95.9242,1905,7, China, CHN
99.49,1905,8, China, CHN
72.0379,1905,9, China, CHN
34.3028,1905,10, China, CHN
13.4569,1905,11, China, CHN
20.4331,1905,12, China, CHN
13.0414,1906,1, China, CHN
24.417,1906,2, China, CHN
26.2773,1906,3, China, CHN
41.3014,1906,4, China, CHN
60.906,1906,5, China, CHN
84.8051,1906,6, China, CHN
108.734,1906,7, China, CHN
98.413,1906,8, China, CHN
57.2769,1906,9, China, CHN
28.2099,1906,10, China, CHN
10.495,1906,11, China, CHN
6.70487,1906,12, China, CHN
15.846,1907,1, China, CHN
11.9952,1907,2, China, CHN
22.3651,1907,3, China, CHN
41.3395,1907,4, China, CHN
61.2131,1907,5, China, CHN
77.7184,1907,6, China, CHN
98.2287,1907,7, China, CHN
98.6087,1907,8, China, CHN
69.0295,1907,9, China, CHN
60.442,1907,10, China, CHN
21.7677,1907,11, China, CHN
9.64267,1907,12, China, CHN
17.2367,1908,1, China, CHN
15.9903,1908,2, China, CHN
16.4166,1908,3, China, CHN
44.7263,1908,4, China, CHN
46.0437,1908,5, China, CHN
93.5993,1908,6, China, CHN
112.817,1908,7, China, CHN
83.983,1908,8, China, CHN
75.5381,1908,9, China, CHN
35.9032,1908,10, China, CHN
23.4864,1908,11, China, CHN
11.3141,1908,12, China, CHN
13.5405,1909,1, China, CHN
11.6564,1909,2, China, CHN
23.6942,1909,3, China, CHN
35.1621,1909,4, China, CHN
52.8705,1909,5, China, CHN
115.616,1909,6, China, CHN
105.539,1909,7, China, CHN
93.6626,1909,8, China, CHN
61.3043,1909,9, China, CHN
48.8763,1909,10, China, CHN
16.4757,1909,11, China, CHN
6.38913,1909,12, China, CHN
13.9984,1910,1, China, CHN
11.9884,1910,2, China, CHN
21.307,1910,3, China, CHN
38.4026,1910,4, China, CHN
47.0219,1910,5, China, CHN
100.469,1910,6, China, CHN
113.761,1910,7, China, CHN
102.255,1910,8, China, CHN
56.2722,1910,9, China, CHN
35.2468,1910,10, China, CHN
21.1558,1910,11, China, CHN
7.77083,1910,12, China, CHN
11.646,1911,1, China, CHN
11.686,1911,2, China, CHN
36.1875,1911,3, China, CHN
39.3082,1911,4, China, CHN
72.0345,1911,5, China, CHN
103.786,1911,6, China, CHN
112.09,1911,7, China, CHN
120.634,1911,8, China, CHN
64.6223,1911,9, China, CHN
39.7021,1911,10, China, CHN
27.5649,1911,11, China, CHN
11.4472,1911,12, China, CHN
13.3398,1912,1, China, CHN
18.1867,1912,2, China, CHN
31.9352,1912,3, China, CHN
35.6289,1912,4, China, CHN
59.1207,1912,5, China, CHN
97.7915,1912,6, China, CHN
100.721,1912,7, China, CHN
92.2621,1912,8, China, CHN
52.8329,1912,9, China, CHN
25.6493,1912,10, China, CHN
19.6207,1912,11, China, CHN
14.2495,1912,12, China, CHN
8.60501,1913,1, China, CHN
15.0045,1913,2, China, CHN
28.8048,1913,3, China, CHN
47.1014,1913,4, China, CHN
54.2686,1913,5, China, CHN
96.5792,1913,6, China, CHN
93.0463,1913,7, China, CHN
85.6519,1913,8, China, CHN
54.6119,1913,9, China, CHN
26.3495,1913,10, China, CHN
21.6629,1913,11, China, CHN
15.2631,1913,12, China, CHN
6.43059,1914,1, China, CHN
20.3499,1914,2, China, CHN
25.4982,1914,3, China, CHN
37.2208,1914,4, China, CHN
58.0828,1914,5, China, CHN
93.3894,1914,6, China, CHN
108.784,1914,7, China, CHN
94.1891,1914,8, China, CHN
58.5209,1914,9, China, CHN
38.6301,1914,10, China, CHN
29.4833,1914,11, China, CHN
12.7727,1914,12, China, CHN
7.02347,1915,1, China, CHN
13.7907,1915,2, China, CHN
22.8702,1915,3, China, CHN
43.1644,1915,4, China, CHN
65.3052,1915,5, China, CHN
97.564,1915,6, China, CHN
125.889,1915,7, China, CHN
105.263,1915,8, China, CHN
77.6498,1915,9, China, CHN
49.2419,1915,10, China, CHN
24.4287,1915,11, China, CHN
6.53196,1915,12, China, CHN
10.8512,1916,1, China, CHN
17.2613,1916,2, China, CHN
18.5867,1916,3, China, CHN
46.5151,1916,4, China, CHN
56.4583,1916,5, China, CHN
99.3069,1916,6, China, CHN
98.1994,1916,7, China, CHN
82.4725,1916,8, China, CHN
71.5854,1916,9, China, CHN
33.1362,1916,10, China, CHN
14.5759,1916,11, China, CHN
7.23141,1916,12, China, CHN
6.42866,1917,1, China, CHN
12.9772,1917,2, China, CHN
21.4227,1917,3, China, CHN
36.4732,1917,4, China, CHN
40.6884,1917,5, China, CHN
99.8762,1917,6, China, CHN
144.781,1917,7, China, CHN
97.4942,1917,8, China, CHN
61.655,1917,9, China, CHN
31.6998,1917,10, China, CHN
9.07873,1917,11, China, CHN
7.43696,1917,12, China, CHN
2.41506,1918,1, China, CHN
8.47447,1918,2, China, CHN
27.8591,1918,3, China, CHN
40.0573,1918,4, China, CHN
86.4034,1918,5, China, CHN
91.1988,1918,6, China, CHN
97.2946,1918,7, China, CHN
127.352,1918,8, China, CHN
65.3582,1918,9, China, CHN
17.664,1918,10, China, CHN
28.9214,1918,11, China, CHN
15.0751,1918,12, China, CHN
10.2111,1919,1, China, CHN
13.8858,1919,2, China, CHN
27.0115,1919,3, China, CHN
39.4063,1919,4, China, CHN
59.6878,1919,5, China, CHN
98.5928,1919,6, China, CHN
101.557,1919,7, China, CHN
86.6081,1919,8, China, CHN
57.7362,1919,9, China, CHN
27.4495,1919,10, China, CHN
17.8232,1919,11, China, CHN
6.41484,1919,12, China, CHN
7.57839,1920,1, China, CHN
23.1024,1920,2, China, CHN
30.7494,1920,3, China, CHN
36.4336,1920,4, China, CHN
51.639,1920,5, China, CHN
96.5615,1920,6, China, CHN
96.345,1920,7, China, CHN
87.089,1920,8, China, CHN
74.9444,1920,9, China, CHN
30.5879,1920,10, China, CHN
22.3967,1920,11, China, CHN
15.7377,1920,12, China, CHN
8.2626,1921,1, China, CHN
10.341,1921,2, China, CHN
24.1458,1921,3, China, CHN
38.3215,1921,4, China, CHN
76.2159,1921,5, China, CHN
87.3868,1921,6, China, CHN
105.129,1921,7, China, CHN
105.032,1921,8, China, CHN
68.4079,1921,9, China, CHN
32.0743,1921,10, China, CHN
9.6647,1921,11, China, CHN
6.57002,1921,12, China, CHN
12.4062,1922,1, China, CHN
17.2084,1922,2, China, CHN
24.2606,1922,3, China, CHN
30.7722,1922,4, China, CHN
58.017,1922,5, China, CHN
87.3153,1922,6, China, CHN
114.258,1922,7, China, CHN
109.532,1922,8, China, CHN
61.1505,1922,9, China, CHN
26.6654,1922,10, China, CHN
9.89003,1922,11, China, CHN
9.2119,1922,12, China, CHN
4.88406,1923,1, China, CHN
16.1584,1923,2, China, CHN
22.4164,1923,3, China, CHN
44.4342,1923,4, China, CHN
53.83,1923,5, China, CHN
88.8441,1923,6, China, CHN
107.525,1923,7, China, CHN
104.878,1923,8, China, CHN
57.2717,1923,9, China, CHN
30.742,1923,10, China, CHN
14.4336,1923,11, China, CHN
9.37944,1923,12, China, CHN
9.75391,1924,1, China, CHN
18.2243,1924,2, China, CHN
18.67,1924,3, China, CHN
35.4998,1924,4, China, CHN
58.899,1924,5, China, CHN
97.5028,1924,6, China, CHN
131.572,1924,7, China, CHN
90.8884,1924,8, China, CHN
51.2769,1924,9, China, CHN
34.6285,1924,10, China, CHN
9.7206,1924,11, China, CHN
5.98242,1924,12, China, CHN
13.6631,1925,1, China, CHN
11.4072,1925,2, China, CHN
29.2047,1925,3, China, CHN
37.7558,1925,4, China, CHN
62.9556,1925,5, China, CHN
80.3851,1925,6, China, CHN
95.7175,1925,7, China, CHN
107.549,1925,8, China, CHN
52.4798,1925,9, China, CHN
25.4123,1925,10, China, CHN
18.489,1925,11, China, CHN
7.28351,1925,12, China, CHN
8.95164,1926,1, China, CHN
17.6702,1926,2, China, CHN
26.1185,1926,3, China, CHN
32.662,1926,4, China, CHN
61.6797,1926,5, China, CHN
80.8914,1926,6, China, CHN
112.433,1926,7, China, CHN
100.722,1926,8, China, CHN
60.286,1926,9, China, CHN
36.558,1926,10, China, CHN
19.3812,1926,11, China, CHN
12.7248,1926,12, China, CHN
8.48841,1927,1, China, CHN
18.2769,1927,2, China, CHN
31.3332,1927,3, China, CHN
42.5515,1927,4, China, CHN
62.2146,1927,5, China, CHN
78.5867,1927,6, China, CHN
106.721,1927,7, China, CHN
85.0927,1927,8, China, CHN
60.9895,1927,9, China, CHN
36.1902,1927,10, China, CHN
15.7556,1927,11, China, CHN
8.41407,1927,12, China, CHN
15.1437,1928,1, China, CHN
13.1721,1928,2, China, CHN
22.1926,1928,3, China, CHN
35.6263,1928,4, China, CHN
58.6234,1928,5, China, CHN
82.5223,1928,6, China, CHN
98.1428,1928,7, China, CHN
109.197,1928,8, China, CHN
58.3422,1928,9, China, CHN
25.6206,1928,10, China, CHN
18.9735,1928,11, China, CHN
8.00982,1928,12, China, CHN
11.8144,1929,1, China, CHN
12.3431,1929,2, China, CHN
12.9377,1929,3, China, CHN
29.2259,1929,4, China, CHN
64.4281,1929,5, China, CHN
89.0984,1929,6, China, CHN
118.742,1929,7, China, CHN
99.4626,1929,8, China, CHN
55.4009,1929,9, China, CHN
21.9555,1929,10, China, CHN
10.9008,1929,11, China, CHN
15.2964,1929,12, China, CHN
11.5317,1930,1, China, CHN
14.5993,1930,2, China, CHN
33.2415,1930,3, China, CHN
44.5141,1930,4, China, CHN
54.9164,1930,5, China, CHN
85.1769,1930,6, China, CHN
84.5536,1930,7, China, CHN
107.959,1930,8, China, CHN
60.0676,1930,9, China, CHN
33.2969,1930,10, China, CHN
16.1188,1930,11, China, CHN
9.66963,1930,12, China, CHN
8.30888,1931,1, China, CHN
14.7805,1931,2, China, CHN
23.4346,1931,3, China, CHN
47.979,1931,4, China, CHN
62.8808,1931,5, China, CHN
93.3463,1931,6, China, CHN
113.826,1931,7, China, CHN
106.774,1931,8, China, CHN
69.4472,1931,9, China, CHN
19.0943,1931,10, China, CHN
15.3197,1931,11, China, CHN
13.771,1931,12, China, CHN
6.09368,1932,1, China, CHN
17.4524,1932,2, China, CHN
20.5959,1932,3, China, CHN
33.6128,1932,4, China, CHN
65.7476,1932,5, China, CHN
98.8342,1932,6, China, CHN
113.703,1932,7, China, CHN
101.136,1932,8, China, CHN
64.9626,1932,9, China, CHN
26.9386,1932,10, China, CHN
12.4259,1932,11, China, CHN
12.6444,1932,12, China, CHN
