Rainfall - (MM), Year,Month, Country, ISO3
29.8409,1901,1, India, IND
21.277,1901,2, India, IND
20.6549,1901,3, India, IND
22.9126,1901,4, India, IND
51.8245,1901,5, India, IND
102.149,1901,6, India, IND
226.014,1901,7, India, IND
246.507,1901,8, India, IND
115.325,1901,9, India, IND
54.2339,1901,10, India, IND
37.146,1901,11, India, IND
8.54215,1901,12, India, IND
6.29279,1902,1, India, IND
2.70003,1902,2, India, IND
14.0353,1902,3, India, IND
34.2501,1902,4, India, IND
44.7959,1902,5, India, IND
120.465,1902,6, India, IND
247.437,1902,7, India, IND
198.724,1902,8, India, IND
203.163,1902,9, India, IND
61.0189,1902,10, India, IND
24.6103,1902,11, India, IND
18.7475,1902,12, India, IND
10.0131,1903,1, India, IND
6.28947,1903,2, India, IND
11.6004,1903,3, India, IND
12.5477,1903,4, India, IND
54.8008,1903,5, India, IND
146.599,1903,6, India, IND
270.755,1903,7, India, IND
258.055,1903,8, India, IND
183.061,1903,9, India, IND
91.599,1903,10, India, IND
37.0423,1903,11, India, IND
14.8986,1903,12, India, IND
8.77996,1904,1, India, IND
7.5047,1904,2, India, IND
24.1833,1904,3, India, IND
23.7697,1904,4, India, IND
66.6932,1904,5, India, IND
137.088,1904,6, India, IND
242.634,1904,7, India, IND
215.794,1904,8, India, IND
122.151,1904,9, India, IND
61.7694,1904,10, India, IND
9.39467,1904,11, India, IND
9.35195,1904,12, India, IND
16.8285,1905,1, India, IND
16.5099,1905,2, India, IND
24.7594,1905,3, India, IND
32.5891,1905,4, India, IND
48.0216,1905,5, India, IND
72.739,1905,6, India, IND
229.172,1905,7, India, IND
212.898,1905,8, India, IND
192.568,1905,9, India, IND
46.8795,1905,10, India, IND
8.86903,1905,11, India, IND
4.94187,1905,12, India, IND
10.965,1906,1, India, IND
35.1545,1906,2, India, IND
23.4116,1906,3, India, IND
11.0414,1906,4, India, IND
33.9573,1906,5, India, IND
190.652,1906,6, India, IND
261.244,1906,7, India, IND
246.538,1906,8, India, IND
153.134,1906,9, India, IND
49.5092,1906,10, India, IND
17.3529,1906,11, India, IND
18.5486,1906,12, India, IND
9.01215,1907,1, India, IND
32.3976,1907,2, India, IND
30.9315,1907,3, India, IND
56.5579,1907,4, India, IND
30.0017,1907,5, India, IND
167.473,1907,6, India, IND
203.306,1907,7, India, IND
275.263,1907,8, India, IND
90.4281,1907,9, India, IND
18.0843,1907,10, India, IND
20.7715,1907,11, India, IND
8.74405,1907,12, India, IND
15.4954,1908,1, India, IND
15.7113,1908,2, India, IND
8.05476,1908,3, India, IND
21.2801,1908,4, India, IND
42.1646,1908,5, India, IND
154.414,1908,6, India, IND
286.65,1908,7, India, IND
315.623,1908,8, India, IND
157.135,1908,9, India, IND
33.4372,1908,10, India, IND
4.22198,1908,11, India, IND
3.40514,1908,12, India, IND
15.8227,1909,1, India, IND
10.0296,1909,2, India, IND
3.44658,1909,3, India, IND
61.8097,1909,4, India, IND
48.7979,1909,5, India, IND
220.977,1909,6, India, IND
299.844,1909,7, India, IND
221.173,1909,8, India, IND
150.455,1909,9, India, IND
32.3047,1909,10, India, IND
8.15176,1909,11, India, IND
19.8351,1909,12, India, IND
10.3645,1910,1, India, IND
9.00832,1910,2, India, IND
10.1973,1910,3, India, IND
23.5585,1910,4, India, IND
37.9396,1910,5, India, IND
208.023,1910,6, India, IND
270.935,1910,7, India, IND
271.557,1910,8, India, IND
183.192,1910,9, India, IND
91.4434,1910,10, India, IND
36.952,1910,11, India, IND
2.57647,1910,12, India, IND
19.7044,1911,1, India, IND
2.73148,1911,2, India, IND
29.116,1911,3, India, IND
22.2724,1911,4, India, IND
47.8995,1911,5, India, IND
194.866,1911,6, India, IND
155.681,1911,7, India, IND
215.99,1911,8, India, IND
171.658,1911,9, India, IND
63.4479,1911,10, India, IND
38.0105,1911,11, India, IND
10.0425,1911,12, India, IND
10.7882,1912,1, India, IND
16.2946,1912,2, India, IND
14.1947,1912,3, India, IND
30.0454,1912,4, India, IND
41.2072,1912,5, India, IND
