Rainfall - (MM), Year,Month, Country, ISO3
197,1901,1, Maldives, MDV
139,1901,2, Maldives, MDV
143,1901,3, Maldives, MDV
171,1901,4, Maldives, MDV
223,1901,5, Maldives, MDV
185,1901,6, Maldives, MDV
174,1901,7, Maldives, MDV
191,1901,8, Maldives, MDV
217,1901,9, Maldives, MDV
276,1901,10, Maldives, MDV
202,1901,11, Maldives, MDV
247,1901,12, Maldives, MDV
197,1902,1, Maldives, MDV
139,1902,2, Maldives, MDV
143,1902,3, Maldives, MDV
171,1902,4, Maldives, MDV
223,1902,5, Maldives, MDV
185,1902,6, Maldives, MDV
174,1902,7, Maldives, MDV
191,1902,8, Maldives, MDV
217,1902,9, Maldives, MDV
276,1902,10, Maldives, MDV
202,1902,11, Maldives, MDV
247,1902,12, Maldives, MDV
197,1903,1, Maldives, MDV
139,1903,2, Maldives, MDV
143,1903,3, Maldives, MDV
171,1903,4, Maldives, MDV
223,1903,5, Maldives, MDV
185,1903,6, Maldives, MDV
174,1903,7, Maldives, MDV
191,1903,8, Maldives, MDV
217,1903,9, Maldives, MDV
276,1903,10, Maldives, MDV
202,1903,11, Maldives, MDV
247,1903,12, Maldives, MDV
197,1904,1, Maldives, MDV
139,1904,2, Maldives, MDV
143,1904,3, Maldives, MDV
171,1904,4, Maldives, MDV
223,1904,5, Maldives, MDV
185,1904,6, Maldives, MDV
174,1904,7, Maldives, MDV
191,1904,8, Maldives, MDV
217,1904,9, Maldives, MDV
276,1904,10, Maldives, MDV
202,1904,11, Maldives, MDV
247,1904,12, Maldives, MDV
197,1905,1, Maldives, MDV
139,1905,2, Maldives, MDV
143,1905,3, Maldives, MDV
171,1905,4, Maldives, MDV
223,1905,5, Maldives, MDV
185,1905,6, Maldives, MDV
174,1905,7, Maldives, MDV
191,1905,8, Maldives, MDV
217,1905,9, Maldives, MDV
276,1905,10, Maldives, MDV
202,1905,11, Maldives, MDV
247,1905,12, Maldives, MDV
197,1906,1, Maldives, MDV
139,1906,2, Maldives, MDV
143,1906,3, Maldives, MDV
171,1906,4, Maldives, MDV
223,1906,5, Maldives, MDV
185,1906,6, Maldives, MDV
174,1906,7, Maldives, MDV
191,1906,8, Maldives, MDV
217,1906,9, Maldives, MDV
276,1906,10, Maldives, MDV
202,1906,11, Maldives, MDV
247,1906,12, Maldives, MDV
197,1907,1, Maldives, MDV
139,1907,2, Maldives, MDV
143,1907,3, Maldives, MDV
171,1907,4, Maldives, MDV
223,1907,5, Maldives, MDV
185,1907,6, Maldives, MDV
174,1907,7, Maldives, MDV
191,1907,8, Maldives, MDV
217,1907,9, Maldives, MDV
276,1907,10, Maldives, MDV
202,1907,11, Maldives, MDV
247,1907,12, Maldives, MDV
197,1908,1, Maldives, MDV
139,1908,2, Maldives, MDV
143,1908,3, Maldives, MDV
171,1908,4, Maldives, MDV
223,1908,5, Maldives, MDV
185,1908,6, Maldives, MDV
174,1908,7, Maldives, MDV
191,1908,8, Maldives, MDV
217,1908,9, Maldives, MDV
276,1908,10, Maldives, MDV
202,1908,11, Maldives, MDV
247,1908,12, Maldives, MDV
197,1909,1, Maldives, MDV
139,1909,2, Maldives, MDV
143,1909,3, Maldives, MDV
171,1909,4, Maldives, MDV
223,1909,5, Maldives, MDV
185,1909,6, Maldives, MDV
174,1909,7, Maldives, MDV
191,1909,8, Maldives, MDV
217,1909,9, Maldives, MDV
276,1909,10, Maldives, MDV
202,1909,11, Maldives, MDV
247,1909,12, Maldives, MDV
197,1910,1, Maldives, MDV
139,1910,2, Maldives, MDV
143,1910,3, Maldives, MDV
171,1910,4, Maldives, MDV
223,1910,5, Maldives, MDV
185,1910,6, Maldives, MDV
174,1910,7, Maldives, MDV
191,1910,8, Maldives, MDV
217,1910,9, Maldives, MDV
276,1910,10, Maldives, MDV
202,1910,11, Maldives, MDV
247,1910,12, Maldives, MDV
197,1911,1, Maldives, MDV
139,1911,2, Maldives, MDV
143,1911,3, Maldives, MDV
171,1911,4, Maldives, MDV
223,1911,5, Maldives, MDV
185,1911,6, Maldives, MDV
174,1911,7, Maldives, MDV
191,1911,8, Maldives, MDV
217,1911,9, Maldives, MDV
276,1911,10, Maldives, MDV
202,1911,11, Maldives, MDV
247,1911,12, Maldives, MDV
197,1912,1, Maldives, MDV
139,1912,2, Maldives, MDV
143,1912,3, Maldives, MDV
171,1912,4, Maldives, MDV
223,1912,5, Maldives, MDV
185,1912,6, Maldives, MDV
174,1912,7, Maldives, MDV
191,1912,8, Maldives, MDV
217,1912,9, Maldives, MDV
276,1912,10, Maldives, MDV
202,1912,11, Maldives, MDV
247,1912,12, Maldives, MDV
197,1913,1, Maldives, MDV
139,1913,2, Maldives, MDV
143,1913,3, Maldives, MDV
171,1913,4, Maldives, MDV
223,1913,5, Maldives, MDV
185,1913,6, Maldives, MDV
174,1913,7, Maldives, MDV
191,1913,8, Maldives, MDV
217,1913,9, Maldives, MDV
276,1913,10, Maldives, MDV
202,1913,11, Maldives, MDV
247,1913,12, Maldives, MDV
197,1914,1, Maldives, MDV
139,1914,2, Maldives, MDV
143,1914,3, Maldives, MDV
171,1914,4, Maldives, MDV
223,1914,5, Maldives, MDV
185,1914,6, Maldives, MDV
174,1914,7, Maldives, MDV
191,1914,8, Maldives, MDV
217,1914,9, Maldives, MDV
276,1914,10, Maldives, MDV
202,1914,11, Maldives, MDV
247,1914,12, Maldives, MDV
197,1915,1, Maldives, MDV
139,1915,2, Maldives, MDV
143,1915,3, Maldives, MDV
171,1915,4, Maldives, MDV
223,1915,5, Maldives, MDV
185,1915,6, Maldives, MDV
174,1915,7, Maldives, MDV
191,1915,8, Maldives, MDV
217,1915,9, Maldives, MDV
276,1915,10, Maldives, MDV
202,1915,11, Maldives, MDV
247,1915,12, Maldives, MDV
197,1916,1, Maldives, MDV
139,1916,2, Maldives, MDV
143,1916,3, Maldives, MDV
171,1916,4, Maldives, MDV
223,1916,5, Maldives, MDV
185,1916,6, Maldives, MDV
174,1916,7, Maldives, MDV
191,1916,8, Maldives, MDV
217,1916,9, Maldives, MDV
276,1916,10, Maldives, MDV
202,1916,11, Maldives, MDV
247,1916,12, Maldives, MDV
197,1917,1, Maldives, MDV
139,1917,2, Maldives, MDV
143,1917,3, Maldives, MDV
171,1917,4, Maldives, MDV
223,1917,5, Maldives, MDV
185,1917,6, Maldives, MDV
174,1917,7, Maldives, MDV
191,1917,8, Maldives, MDV
217,1917,9, Maldives, MDV
276,1917,10, Maldives, MDV
202,1917,11, Maldives, MDV
247,1917,12, Maldives, MDV
197,1918,1, Maldives, MDV
139,1918,2, Maldives, MDV
143,1918,3, Maldives, MDV
171,1918,4, Maldives, MDV
223,1918,5, Maldives, MDV
185,1918,6, Maldives, MDV
174,1918,7, Maldives, MDV
191,1918,8, Maldives, MDV
217,1918,9, Maldives, MDV
276,1918,10, Maldives, MDV
202,1918,11, Maldives, MDV
247,1918,12, Maldives, MDV
197,1919,1, Maldives, MDV
139,1919,2, Maldives, MDV
143,1919,3, Maldives, MDV
171,1919,4, Maldives, MDV
223,1919,5, Maldives, MDV
185,1919,6, Maldives, MDV
174,1919,7, Maldives, MDV
191,1919,8, Maldives, MDV
217,1919,9, Maldives, MDV
276,1919,10, Maldives, MDV
202,1919,11, Maldives, MDV
247,1919,12, Maldives, MDV
197,1920,1, Maldives, MDV
139,1920,2, Maldives, MDV
143,1920,3, Maldives, MDV
171,1920,4, Maldives, MDV
223,1920,5, Maldives, MDV
185,1920,6, Maldives, MDV
174,1920,7, Maldives, MDV
191,1920,8, Maldives, MDV
217,1920,9, Maldives, MDV
276,1920,10, Maldives, MDV
202,1920,11, Maldives, MDV
247,1920,12, Maldives, MDV
197,1921,1, Maldives, MDV
139,1921,2, Maldives, MDV
143,1921,3, Maldives, MDV
171,1921,4, Maldives, MDV
223,1921,5, Maldives, MDV
185,1921,6, Maldives, MDV
174,1921,7, Maldives, MDV
191,1921,8, Maldives, MDV
217,1921,9, Maldives, MDV
276,1921,10, Maldives, MDV
202,1921,11, Maldives, MDV
247,1921,12, Maldives, MDV
197,1922,1, Maldives, MDV
139,1922,2, Maldives, MDV
143,1922,3, Maldives, MDV
171,1922,4, Maldives, MDV
223,1922,5, Maldives, MDV
185,1922,6, Maldives, MDV
174,1922,7, Maldives, MDV
191,1922,8, Maldives, MDV
217,1922,9, Maldives, MDV
276,1922,10, Maldives, MDV
202,1922,11, Maldives, MDV
247,1922,12, Maldives, MDV
197,1923,1, Maldives, MDV
139,1923,2, Maldives, MDV
143,1923,3, Maldives, MDV
171,1923,4, Maldives, MDV
223,1923,5, Maldives, MDV
185,1923,6, Maldives, MDV
174,1923,7, Maldives, MDV
191,1923,8, Maldives, MDV
217,1923,9, Maldives, MDV
276,1923,10, Maldives, MDV
202,1923,11, Maldives, MDV
247,1923,12, Maldives, MDV
197,1924,1, Maldives, MDV
139,1924,2, Maldives, MDV
143,1924,3, Maldives, MDV
171,1924,4, Maldives, MDV
223,1924,5, Maldives, MDV
185,1924,6, Maldives, MDV
174,1924,7, Maldives, MDV
191,1924,8, Maldives, MDV
217,1924,9, Maldives, MDV
276,1924,10, Maldives, MDV
202,1924,11, Maldives, MDV
247,1924,12, Maldives, MDV
197,1925,1, Maldives, MDV
139,1925,2, Maldives, MDV
143,1925,3, Maldives, MDV
171,1925,4, Maldives, MDV
223,1925,5, Maldives, MDV
185,1925,6, Maldives, MDV
174,1925,7, Maldives, MDV
191,1925,8, Maldives, MDV
217,1925,9, Maldives, MDV
276,1925,10, Maldives, MDV
202,1925,11, Maldives, MDV
247,1925,12, Maldives, MDV
197,1926,1, Maldives, MDV
139,1926,2, Maldives, MDV
143,1926,3, Maldives, MDV
171,1926,4, Maldives, MDV
223,1926,5, Maldives, MDV
185,1926,6, Maldives, MDV
174,1926,7, Maldives, MDV
191,1926,8, Maldives, MDV
217,1926,9, Maldives, MDV
276,1926,10, Maldives, MDV
202,1926,11, Maldives, MDV
247,1926,12, Maldives, MDV
197,1927,1, Maldives, MDV
139,1927,2, Maldives, MDV
143,1927,3, Maldives, MDV
171,1927,4, Maldives, MDV
223,1927,5, Maldives, MDV
185,1927,6, Maldives, MDV
174,1927,7, Maldives, MDV
191,1927,8, Maldives, MDV
217,1927,9, Maldives, MDV
276,1927,10, Maldives, MDV
202,1927,11, Maldives, MDV
247,1927,12, Maldives, MDV
197,1928,1, Maldives, MDV
139,1928,2, Maldives, MDV
143,1928,3, Maldives, MDV
171,1928,4, Maldives, MDV
223,1928,5, Maldives, MDV
185,1928,6, Maldives, MDV
174,1928,7, Maldives, MDV
191,1928,8, Maldives, MDV
217,1928,9, Maldives, MDV
276,1928,10, Maldives, MDV
202,1928,11, Maldives, MDV
247,1928,12, Maldives, MDV
197,1929,1, Maldives, MDV
139,1929,2, Maldives, MDV
143,1929,3, Maldives, MDV
171,1929,4, Maldives, MDV
223,1929,5, Maldives, MDV
185,1929,6, Maldives, MDV
174,1929,7, Maldives, MDV
191,1929,8, Maldives, MDV
217,1929,9, Maldives, MDV
276,1929,10, Maldives, MDV
202,1929,11, Maldives, MDV
247,1929,12, Maldives, MDV
197,1930,1, Maldives, MDV
139,1930,2, Maldives, MDV
143,1930,3, Maldives, MDV
171,1930,4, Maldives, MDV
223,1930,5, Maldives, MDV
185,1930,6, Maldives, MDV
174,1930,7, Maldives, MDV
191,1930,8, Maldives, MDV
217,1930,9, Maldives, MDV
276,1930,10, Maldives, MDV
202,1930,11, Maldives, MDV
247,1930,12, Maldives, MDV
197,1931,1, Maldives, MDV
139,1931,2, Maldives, MDV
143,1931,3, Maldives, MDV
171,1931,4, Maldives, MDV
223,1931,5, Maldives, MDV
185,1931,6, Maldives, MDV
174,1931,7, Maldives, MDV
191,1931,8, Maldives, MDV
217,1931,9, Maldives, MDV
276,1931,10, Maldives, MDV
202,1931,11, Maldives, MDV
247,1931,12, Maldives, MDV
197,1932,1, Maldives, MDV
139,1932,2, Maldives, MDV
143,1932,3, Maldives, MDV
171,1932,4, Maldives, MDV
223,1932,5, Maldives, MDV
185,1932,6, Maldives, MDV
174,1932,7, Maldives, MDV
191,1932,8, Maldives, MDV
217,1932,9, Maldives, MDV
276,1932,10, Maldives, MDV
202,1932,11, Maldives, MDV
247,1932,12, Maldives, MDV
197,1933,1, Maldives, MDV
139,1933,2, Maldives, MDV
143,1933,3, Maldives, MDV
171,1933,4, Maldives, MDV
223,1933,5, Maldives, MDV
185,1933,6, Maldives, MDV
174,1933,7, Maldives, MDV
191,1933,8, Maldives, MDV
217,1933,9, Maldives, MDV
276,1933,10, Maldives, MDV
202,1933,11, Maldives, MDV
247,1933,12, Maldives, MDV
197,1934,1, Maldives, MDV
139,1934,2, Maldives, MDV
143,1934,3, Maldives, MDV
171,1934,4, Maldives, MDV
223,1934,5, Maldives, MDV
185,1934,6, Maldives, MDV
174,1934,7, Maldives, MDV
191,1934,8, Maldives, MDV
217,1934,9, Maldives, MDV
276,1934,10, Maldives, MDV
202,1934,11, Maldives, MDV
247,1934,12, Maldives, MDV
197,1935,1, Maldives, MDV
139,1935,2, Maldives, MDV
143,1935,3, Maldives, MDV
171,1935,4, Maldives, MDV
223,1935,5, Maldives, MDV
185,1935,6, Maldives, MDV
174,1935,7, Maldives, MDV
191,1935,8, Maldives, MDV
217,1935,9, Maldives, MDV
276,1935,10, Maldives, MDV
202,1935,11, Maldives, MDV
247,1935,12, Maldives, MDV
197,1936,1, Maldives, MDV
139,1936,2, Maldives, MDV
143,1936,3, Maldives, MDV
171,1936,4, Maldives, MDV
223,1936,5, Maldives, MDV
185,1936,6, Maldives, MDV
174,1936,7, Maldives, MDV
191,1936,8, Maldives, MDV
217,1936,9, Maldives, MDV
276,1936,10, Maldives, MDV
202,1936,11, Maldives, MDV
247,1936,12, Maldives, MDV
197,1937,1, Maldives, MDV
139,1937,2, Maldives, MDV
143,1937,3, Maldives, MDV
171,1937,4, Maldives, MDV
223,1937,5, Maldives, MDV
185,1937,6, Maldives, MDV
